
=====================================================================================
                        ALGORITHMIC ELEGANCE SCORE (AES) REPORT                      
=====================================================================================
FILE                                             | AES    | MI    | COMPLEX | TYPE %
-------------------------------------------------------------------------------------
__init__.py                                      | 93.68  | 93.7  | 0.0     | 100.0 
__init__.py                                      | 90.34  | 90.3  | 0.0     | 100.0 
__init__.py                                      | 90.34  | 90.3  | 0.0     | 100.0 
__init__.py                                      | 89.81  | 89.8  | 0.0     | 100.0 
__init__.py                                      | 89.81  | 89.8  | 0.0     | 100.0 
debug_regex.py                                   | 53.80  | 53.8  | 2.0     | 100.0 
exceptions.py                                    | 47.28  | 51.7  | 1.0     | 71.4  
sentinel_utils.py                                | 42.84  | 43.9  | 2.5     | 100.0 
sentinel_sword.py                                | 40.23  | 40.9  | 2.3     | 100.0 
config.py                                        | 34.46  | 39.8  | 2.7     | 66.7  
sophia_wisdom.py                                 | 31.38  | 46.5  | 2.5     | 0.0   
schemas.py                                       | 29.10  | 35.9  | 1.0     | 100.0 
cli.py                                           | 28.63  | 29.5  | 2.6     | 100.0 
activate_axion (1).py                            | 25.60  | 38.5  | 6.0     | 100.0 
simulate_omega_mechanics.py                      | 25.16  | 28.1  | 1.5     | 64.7  
Synarche_bridge.py                               | 23.17  | 36.1  | 3.2     | 0.0   
identity_aligner.py                              | 21.93  | 29.6  | 4.2     | 50.0  
transmutation_pipeline.py                        | 20.97  | 24.1  | 4.0     | 100.0 
test_agent_template.py                           | 20.66  | 29.5  | 1.1     | 0.0   
transmuter.py                                    | 20.15  | 21.5  | 3.3     | 100.0 
test_bridge.py                                   | 19.72  | 41.5  | 6.5     | 0.0   
aes_calculator.py                                | 18.27  | 18.8  | 2.6     | 100.0 
canonize.py                                      | 17.94  | 29.9  | 4.0     | 0.0   
enums.py                                         | 16.45  | 28.4  | 0.0     | 100.0 
enums.py                                         | 16.45  | 28.4  | 0.0     | 100.0 
extract_docx_text.py                             | 16.30  | 33.6  | 8.0     | 100.0 
workspace_gardener.py                            | 15.55  | 18.3  | 5.0     | 100.0 
catalyst_weaver.py                               | 15.00  | 16.5  | 3.8     | 100.0 
compliance_audit.py                              | 14.94  | 16.6  | 4.0     | 100.0 
enums.py                                         | 13.45  | 26.9  | 1.0     | 100.0 
dissonance_bridge.py                             | 12.68  | 35.2  | 8.0     | 50.0  
forge.py                                         | 12.41  | 19.1  | 3.0     | 0.0   
axiom_injector.py                                | 12.18  | 21.4  | 4.8     | 9.1   
agent_template.py                                | 11.11  | 11.5  | 2.6     | 100.0 
generate_registry.py                             | 10.75  | 12.4  | 4.6     | 100.0 
assembler.py                                     | 10.12  | 12.2  | 4.0     | 100.0 
tool_router.py                                   | 8.57   | 11.1  | 6.4     | 100.0 
axion_runtime.py                                 | 6.67   | 7.7   | 3.4     | 100.0 
generate_barrels.py                              | 1.02   | 20.4  | 12.3    | 0.0   
reforge.py                                       | 0.34   | 0.4   | 6.2     | 100.0 
armory_audit.py                                  | 0.00   | 30.9  | 15.0    | 0.0   
fix_md013.py                                     | 0.00   | 31.2  | 18.0    | 0.0   
=====================================================================================
