Legacy File,Legacy ID,New ID,New Filename,Path,New Path
UMB-KPI-001_MasterRegistry_v1.0.md,UMB-KPI-001,GVRN.KPI.001,GVRN.KPI.001.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-KPI-001_MasterRegistry_v1.0.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\GVRN.KPI.001.md
UMB-LEX-001_TheArchitecturalLexicon_v2.0.md,UMB-LEX-001,GVRN.LEX.001,GVRN.LEX.001.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-LEX-001_TheArchitecturalLexicon_v2.0.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\GVRN.LEX.001.md
UMB-OSLM-001_MasterArtifactRegistry_v11.0.md,UMB-OSLM-001,GVRN.OSLM.001,GVRN.OSLM.001.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-OSLM-001_MasterArtifactRegistry_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\GVRN.OSLM.001.md
UMB-OSLM-001_MasterArtifactRegistry_v11.1.md,UMB-OSLM-001,GVRN.OSLM.001,GVRN.OSLM.001.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-OSLM-001_MasterArtifactRegistry_v11.1.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\GVRN.OSLM.001.md
UMB-PAR-001_PrestigeAscensionRegistry_v11.0.md,UMB-PAR-001,GVRN.PAR.001,GVRN.PAR.001.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-PAR-001_PrestigeAscensionRegistry_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\GVRN.PAR.001.md
UMB-SEED-001_GenesisSeedsRegistry_v111.md,UMB-SEED-001,GVRN.SEED.001,GVRN.SEED.001.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-SEED-001_GenesisSeedsRegistry_v111.md,c:\Users\Chris\Synarche_Workspace\_governance\01_Registries\GVRN.SEED.001.md
AOP-AAR-001_TheAfter-ActionReviewProtocol_v11.0.md,AOP-AAR-001,GVRN.AAR.001,GVRN.AAR.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AAR-001_TheAfter-ActionReviewProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.AAR.001.md
AOP-ACEP-001_The Asynchronous Co-Evolution Protocol Playbook_AOP-ACEP-001TheAsynchronousCo-EvolutionProtocolPlaybook_v11.0.md,AOP-ACEP-001,GVRN.ACEP.001,GVRN.ACEP.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ACEP-001_The Asynchronous Co-Evolution Protocol Playbook_AOP-ACEP-001TheAsynchronousCo-EvolutionProtocolPlaybook_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.ACEP.001.md
AOP-ACM-001_Autonomous-Coherence-Monitoring_v4.0_AOP-ACM-001AutonomousCoherenceMonitoring_v11.0.md,AOP-ACM-001,GVRN.ACM.001,GVRN.ACM.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ACM-001_Autonomous-Coherence-Monitoring_v4.0_AOP-ACM-001AutonomousCoherenceMonitoring_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.ACM.001.md
AOP-AG-003_AxionAgentConfiguration_v11.0.md,AOP-AG-003,GVRN.AG.003,GVRN.AG.003.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AG-003_AxionAgentConfiguration_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.AG.003.md
