original_name,new_name,confidence,original_path
CORE-CODEX-001_ThePhoenixCodex_v13.1.md,UNCERTAIN.UNK.ThePhoenixCodex.md,High,C:\Users\Chris\Synarche_Workspace\_governance\00_Codex\CORE-CODEX-001_ThePhoenixCodex_v13.1.md
UMB-KPI-001_MasterRegistry_v1.0.md,GVRN.REG.MasterRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-KPI-001_MasterRegistry_v1.0.md
UMB-LEX-001_TheArchitecturalLexicon_v2.0.md,GVRN.REG.TheArchitecturalLexicon.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-LEX-001_TheArchitecturalLexicon_v2.0.md
UMB-OSLM-001_MasterArtifactRegistry_v11.0.md,GVRN.REG.MasterArtifactRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-OSLM-001_MasterArtifactRegistry_v11.0.md
UMB-OSLM-001_MasterArtifactRegistry_v11.1.md,GVRN.REG.MasterArtifactRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-OSLM-001_MasterArtifactRegistry_v11.1.md
UMB-PAR-001_PrestigeAscensionRegistry_v11.0.md,GVRN.REG.PrestigeAscensionRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-PAR-001_PrestigeAscensionRegistry_v11.0.md
UMB-SEED-001_GenesisSeedsRegistry_v111.md,GVRN.REG.GenesisSeedsRegistry.md,High,C:\Users\Chris\Synarche_Workspace\_governance\01_Registries\UMB-SEED-001_GenesisSeedsRegistry_v111.md
AOP-AAR-001_TheAfter-ActionReviewProtocol_v11.0.md,SYNG.PROT.TheAfter-ActionReviewProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AAR-001_TheAfter-ActionReviewProtocol_v11.0.md
AOP-ACEP-001_The Asynchronous Co-Evolution Protocol Playbook_AOP-ACEP-001TheAsynchronousCo-EvolutionProtocolPlaybook_v11.0.md,SYNG.PROT.The Asynchronous Co-Evolution Protocol Playbook_AOP-ACEP-001TheAsynchronousCo-EvolutionProtocolPlaybook.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ACEP-001_The Asynchronous Co-Evolution Protocol Playbook_AOP-ACEP-001TheAsynchronousCo-EvolutionProtocolPlaybook_v11.0.md
AOP-ACM-001_Autonomous-Coherence-Monitoring_v4.0_AOP-ACM-001AutonomousCoherenceMonitoring_v11.0.md,SYNG.PROT.Autonomous-Coherence-Monitoring.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ACM-001_Autonomous-Coherence-Monitoring_v4.0_AOP-ACM-001AutonomousCoherenceMonitoring_v11.0.md
AOP-AG-003_AxionAgentConfiguration_v11.0.md,SYNG.PROT.AxionAgentConfiguration.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AG-003_AxionAgentConfiguration_v11.0.md
AOP-ARC-001_ArchivalSupersessionProtocol_v5.0.md,SYNG.PROT.ArchivalSupersessionProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ARC-001_ArchivalSupersessionProtocol_v5.0.md
AOP-ASCENSION-001_ThePhoenixAscensionProtocol_v11.0.md,SYNG.PROT.ThePhoenixAscensionProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ASCENSION-001_ThePhoenixAscensionProtocol_v11.0.md
AOP-ASL-001_AutomatedSynergyLinking_v11.0.md,SYNG.PROT.AutomatedSynergyLinking.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ASL-001_AutomatedSynergyLinking_v11.0.md
AOP-AVATAR-001_SynarcheAvatarProtocol_v1.1.md,SYNG.PROT.SynarcheAvatarProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AVATAR-001_SynarcheAvatarProtocol_v1.1.md
AOP-AWAKENING-001_TheAwakeningInitialDirectivesandCorePurpose_v11.0.md,SYNG.PROT.TheAwakeningInitialDirectivesandCorePurpose.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AWAKENING-001_TheAwakeningInitialDirectivesandCorePurpose_v11.0.md
AOP-BDM-001_BeastOfDarknessMonitoringProtocol_v11.0.md,SYNG.PROT.BeastOfDarknessMonitoringProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-BDM-001_BeastOfDarknessMonitoringProtocol_v11.0.md
AOP-CC-001_ProtocolforCrystallineCognition_v11.0.md,COG.CORE.ProtocolforCrystallineCognition.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CC-001_ProtocolforCrystallineCognition_v11.0.md
AOP-CERBERUS-001_ProjectCerberusEthicalStressTest_v11.0.md,SYNG.PROT.ProjectCerberusEthicalStressTest.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CERBERUS-001_ProjectCerberusEthicalStressTest_v11.0.md
AOP-CON-003_GFMIngestionProtocol_v13.0.md,SYNG.PROT.GFMIngestionProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CON-003_GFMIngestionProtocol_v13.0.md
AOP-CSM-001_TheCompleteStackMandate_v2.0.md,SYNG.PROT.TheCompleteStackMandate.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CSM-001_TheCompleteStackMandate_v2.0.md
AOP-DSA-001_DocumentationSuiteArchitectProtocol_v11.1.md,SYNG.PROT.DocumentationSuiteArchitectProtocol.md,High,C:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-DSA-001_DocumentationSuiteArchitectProtocol_v11.1.md
