node_id,node_type,filename,size_bytes,filepath
CONTEXT-PACKET-001,Artifact,CONTEXT-PACKET-001_ContextDataPacketTransferPacket_v11.0.md,4787,C:\Users\Chris\Synarche_Workspace\nova-forge\docs\CONTEXT-PACKET-001_ContextDataPacketTransferPacket_v11.0.md
CONTEXT-PACKET-002,Artifact,CONTEXT-PACKET-002_ContextDataPacket_v11.0.md,5041,C:\Users\Chris\Synarche_Workspace\nova-forge\docs\CONTEXT-PACKET-002_ContextDataPacket_v11.0.md
CONTEXT-PACKET-003,Artifact,CONTEXT-PACKET-003_ContextDataPacketUDB-CCP-003_v11.0.md,4578,C:\Users\Chris\Synarche_Workspace\nova-forge\docs\CONTEXT-PACKET-003_ContextDataPacketUDB-CCP-003_v11.0.md
TOOL-PROTO-001,Artifact,ContextWeave.ts,2677,C:\Users\Chris\Synarche_Workspace\nova-forge\docs\ContextWeave.ts
Unknown_CONTEXTDATAPACKETTransferPacket_v11.0.md,Artifact,Unknown_CONTEXTDATAPACKETTransferPacket_v11.0.md,5166,C:\Users\Chris\Synarche_Workspace\nova-forge\docs\_archive\Unknown_CONTEXTDATAPACKETTransferPacket_v11.0.md
docker-compose.yml,Artifact,docker-compose.yml,1023,C:\Users\Chris\Synarche_Workspace\nova-forge\infra\docker\docker-compose.yml
deployment.yaml,Artifact,deployment.yaml,1595,C:\Users\Chris\Synarche_Workspace\nova-forge\infra\k8s\deployment.yaml
service.yaml,Artifact,service.yaml,1030,C:\Users\Chris\Synarche_Workspace\nova-forge\infra\k8s\service.yaml
phoenix-agent-pipeline.yml,Artifact,phoenix-agent-pipeline.yml,2855,C:\Users\Chris\Synarche_Workspace\nova-forge\infra\pipelines\phoenix-agent-pipeline.yml
pipeline.yml,Artifact,pipeline.yml,2028,C:\Users\Chris\Synarche_Workspace\nova-forge\infra\pipelines\pipeline.yml
TOOL-NOVA-001,Artifact,invoke_judgement.py,5108,C:\Users\Chris\Synarche_Workspace\nova-forge\scripts\invoke_judgement.py
TOOL-NOVA-002,Artifact,seed_loom.py,8253,C:\Users\Chris\Synarche_Workspace\nova-forge\scripts\seed_loom.py
TOOL-NOVA-003,Artifact,sync_knowledge_graph.py,5066,C:\Users\Chris\Synarche_Workspace\nova-forge\scripts\sync_knowledge_graph.py
TOOL-NOVA-004,Artifact,verify_synarche_sync.py,3080,C:\Users\Chris\Synarche_Workspace\nova-forge\scripts\verify_synarche_sync.py
TOOL-NOVA-005,Artifact,visualize_mindmap.py,7928,C:\Users\Chris\Synarche_Workspace\nova-forge\scripts\visualize_mindmap.py
CODE-REF-001,Artifact,association_manager.py,4554,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\backend\association_manager.py
CODE-REF-006,Artifact,config.py,1294,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\backend\config.py
CODE-REF-004,Artifact,main.py,649,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\backend\main.py
CODE-REF-005,Artifact,__init__.py,372,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\backend\__init__.py
DOC-STD-001,Artifact,DOC-STD-001_v2.1.0.md,12929,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\knowledge\DOC-STD-001_v2.1.0.md
OGLN_Charter.md,Artifact,OGLN_Charter.md,970,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\knowledge\manifestos\OGLN_Charter.md
Synarche_Manifesto.md,Artifact,Synarche_Manifesto.md,857,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\knowledge\philosophy\Synarche_Manifesto.md
