artifact_id,category,name,status,version,semantic_anchors,tags,content_shard,path
WLF-THEM-INDEX,1. Core Concepts & Themes,[CANON] Formal Artifacts,ACTIVE,v15.0 [OMEGA],PART_OF: WLF-ROOT-001,index; core-concepts; nexus,- **[WLF-THEM-000 Overview](./WLF-THEM-000_Overview_v1.0.md)**: High-level thematic framework. - **[WLF-THEM-010 Betrayal](./WLF-THEM-010_Betrayal_v1.0.md)**: The institutional rot. - **[WLF-THEM-012 Corruption](./WLF-THEM-012_Corruption_v1.0.md)**: The entropy of power. - **[WLF-THEM-014 Faith vs Doubt](./WLF-THEM-014_FaithVsDoubt_v1.0.md)**: The internal trial. - **[WLF-THEM-015 Free Will vs Destiny](./WLF-THEM-015_FreeWillVsDestiny_v1.0.md)**: The deterministic trap.,1. Core Concepts & Themes\README.md
WLF-GDD-001_TheShatteredMind_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the core mechanics, genre pillars, and gameplay systems for the ""Where Light Fades"" interactive experience. - **Genre**: 3rd Person Action-Horror / Psychological RPG. - **Elevator Pitch**: ""Hellblade meets Dark Souls,"" where your inventory, UI, and even the enemies hallucinate **because** of your **Shadow Corruption Level**. You play as Kaelen, a Paladin whose holy sword *Oathbringer* is also the prison for his dark alter-ego. The core loop revolves around the **Dissonance Meter** (Corruption). Therefore, player agency is directly tied to their psychological state.",1. Core Concepts & Themes\WLF-GDD-001_TheShatteredMind_v1.0.md
WLF-THEM-000_Overview_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document serves as the central index and architectural map for all narrative themes and concept-level anchors within the ""Where Light Fades"" universe. - **[WLF-THEM-002 Logline](file:///1.%20Core%20Concepts%20&%20Themes/WLF-THEM-002_Logline_v1.0.md)**: ""In a world veiled in shadow, some truths are lost but not forgotten."" - **[WLF-THEM-003 Synopsis](file:///1.%20Core%20Concepts%20&%20Themes/WLF-THEM-003_Synopsis_v1.0.md)**: The journey of Paladin Kaelen as he confronts the conspiracy of the Order and the whispers of Oathbringer. - **[WLF-GDD-001 GDD](file:///1.%20Core%20Concepts%20&%20Themes/WLF-GDD-001_TheShatteredMind_v1.0.md)**: Technical and mechanical blueprint for ""The Shattered Mind.""",1. Core Concepts & Themes\WLF-THEM-000_Overview_v1.0.md
WLF-THEM-001_Inspirations_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document lists the external media and literary works that define the aesthetic and thematic DNA of ""Where Light Fades."" - **Video Games**: - **Dark Souls** / **Bloodborne**: Oppressive atmosphere, gothic architecture, and the palpable sense of despair and ""fair but brutal"" challenge. - **Film**:",1. Core Concepts & Themes\WLF-THEM-001_Inspirations_v1.0.md
WLF-THEM-002_Logline_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the single-sentence pitch for ""Where Light Fades."" In a world veiled in shadow, some truths are lost but not forgotten. - **Narrative**: [WLF-THEM-003 Synopsis](file:///1.%20Core%20Concepts%20&%20Themes/WLF-THEM-003_Synopsis_v1.0.md) - **Theme**: [Theme_Mystery](file:///1.%20Core%20Concepts%20&%20Themes/Themes/WLF-THEM-021_Mystery_v1.0.md)",1. Core Concepts & Themes\WLF-THEM-002_Logline_v1.0.md
WLF-THEM-003_Synopsis_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document captures the core narrative hook and starting conditions for the ""Where Light Fades"" journey. In the Shattered Lands, lost truths stir beneath a long, dark shadow of the past. Paladin Kaelen, once a beacon of the Order of the White Flame, is sent to the village of Oakhaven on a mission that will shatter all he once believed. The events that transpire begin to twist his thoughts, and a conspiracy is revealed, threatening all he holds dear. Now, wielding the legendary sword **Oathbringer**, a blade that whispers forbidden knowledge, Kaelen must battle an evil he's only ever faced in his nightmares. - **Protagonist**: [Kaelen](file:///6.%20Characters/WLF-CHAR-001_Kaelen_v1.0.md)",1. Core Concepts & Themes\WLF-THEM-003_Synopsis_v1.0.md
WLF-THEM-010_Betrayal_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Betrayal within the ""Where Light Fades"" universe. Kaelen experiences betrayal, shattering his trust and forcing him to confront the flawed nature of the Order and those he once held dear. This explores the deep emotional impact of broken trust. - **Character Core**: Betrayal acts as the catalyst for Kaelen's separation from the Order's dogma. - **Narrative Weight**: Every instance of betrayal must focus on the *emotional fallout* rather than just the tactical loss.",1. Core Concepts & Themes\WLF-THEM-010_Betrayal_v1.0.md
WLF-THEM-011_Conspiracy_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Conspiracy within the ""Where Light Fades"" universe. The world is built on a foundation of hidden truths and institutional lies. The Order of the White Flame suppresses the history of Eldrin and the true nature of the Heartstones to maintain control and avoid public panic. - **The Eldrin Affair**: The cover-up of the original wielder's fall. - **The Living Seal**: The hidden cost of ""Ascension.""",1. Core Concepts & Themes\WLF-THEM-011_Conspiracy_v1.0.md
WLF-THEM-012_Corruption_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Corruption within the ""Where Light Fades"" universe. Both Kaelen and the Order of the White Flame face corruption. Kaelen struggles against the insidious influence of the Shadow Self and a tainted Oathbringer, while the Order grapples with hidden secrets, past mistakes, and the manipulative actions of Valerius. - **Internal**: [Kaelen's Shadow Self](file:///Docs/WLF-DOC-009_ConceptualAnchors_v1.0.md) and the ""Stain"" on Oathbringer. - **External**: The [Nyx](file:///Docs/WLF-LORE-001_LoreBible_v1.0.md) influence and the ""Reality Rot"" in Null Zones.",1. Core Concepts & Themes\WLF-THEM-012_Corruption_v1.0.md
WLF-THEM-013_CycleOfViolence_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of the Cycle of Violence within the ""Where Light Fades"" universe. Violence begets violence. The Order's ""Purges"" created the monsters they now fight. Kaelen's combat prowess is both his salvation and his damnation, as every kill feeds the Shadow Self. - **Blowback**: The physical manifestation of ""Reality Rot"" following the destruction of a corrupted Heartstone. - **Spiritual Toll**: The increasing ease with which Kaelen enters ""Dark Mode"" after each lethal confrontation.",1. Core Concepts & Themes\WLF-THEM-013_CycleOfViolence_v1.0.md
WLF-THEM-014_FaithVsDoubt_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Faith vs Doubt within the ""Where Light Fades"" universe. Kaelen's journey is defined by a crisis of faith, as he questions the Order's teachings, his own beliefs, and the nature of the White Flame. This theme explores the complexities of faith, the dangers of blind belief, and the importance of seeking truth. - **The White Flame**: Questioning if the ""Light"" is a moral force or a cold cosmic law. - **Institutional Trust**: The slow hollowing of Kaelen's faith in the Elders.",1. Core Concepts & Themes\WLF-THEM-014_FaithVsDoubt_v1.0.md
WLF-THEM-015_FreeWillVsDestiny_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Free Will vs Destiny within the ""Where Light Fades"" universe. Kaelen's struggle highlights the conflict between choosing one's own path and being seemingly bound by fate or a predetermined destiny, especially with the influence of the Shadow Self and Valerius's manipulations. - **The Prophecy**: The [Sundered Blade](file:///Docs/WLF-DOC-000_PhoenixProtocols_v1.0.md) foretelling a binary choice that Kaelen aims to triangulate. - **The Golden Leash**: Valerius's attempts to guide Kaelen's choices while maintaining the illusion of agency.",1. Core Concepts & Themes\WLF-THEM-015_FreeWillVsDestiny_v1.0.md
WLF-THEM-016_Hope_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Hope within the ""Where Light Fades"" universe. Even in a world veiled in shadow, Hope remains the only force capable of anchoring reality. It is not a naive feeling, but a grit-teeth decision to continue moving forward when the ""Light"" feels thin. - **The Trio's Bond**: The shared laughter and small joys that occur despite the darkness. - **Serafina's Faith**: Her unwavering belief in Kaelen's core goodness.",1. Core Concepts & Themes\WLF-THEM-016_Hope_v1.0.md
WLF-THEM-017_Isolation_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Isolation within the ""Where Light Fades"" universe. Kaelen's growing isolation, both physical and emotional, makes him more vulnerable to the Shadow Self's influence and Valerius's manipulations. This highlights the importance of human connection as a defensive barrier. - **The Quarantine**: Kaelen's habit of physically distancing himself to protect his friends' purity. - **The Secret**: The burden of knowing the ""high"" of Dark Mode, which he cannot share.",1. Core Concepts & Themes\WLF-THEM-017_Isolation_v1.0.md
WLF-THEM-018_LossAndGrief_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Loss and Grief within the ""Where Light Fades"" universe. Loss, particularly the trauma of the Oakhaven ritual and the death of Kaelen's parents, is a driving force, fueling his guilt, vulnerability, and desire for protection. The Shadow Self exploits these feelings as leverage to bypass Kaelen's moral defenses. - **The Hamlet Calamity**: The foundational wound. - **Elara's Fate**: The secondary trauma that triggers the ""Act II"" transition.",1. Core Concepts & Themes\WLF-THEM-018_LossAndGrief_v1.0.md
WLF-THEM-019_LostKnowledge_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Lost Knowledge within the ""Where Light Fades"" universe. The world is a graveyard of advanced understanding. Whether through environmental cataclysm (The Sundering) or intentional institutional erasure (The Order), the tools and truths required to solve the ""Corruption"" have been forgotten. - **Eldorian Architecture**: The functioning of the Heartstone network. - **Dual-Channel Resonance**: The lost art of balancing Light and Nyx.",1. Core Concepts & Themes\WLF-THEM-019_LostKnowledge_v1.0.md
WLF-THEM-020_MoralAmbiguity_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Moral Ambiguity within the ""Where Light Fades"" universe. Characters are driven by complex motivations, making choices that blur the lines between good and evil. The story challenges readers to question their own moral judgments and empathize with characters facing ""impossible dilemmas"" where every path has a cost. - **The Shadow Paradox**: Using a corrupt force to prevent a larger catastrophe. - **The Order's Pragmatism**: The decision to ""Seal"" heroes to protect the many.",1. Core Concepts & Themes\WLF-THEM-020_MoralAmbiguity_v1.0.md
WLF-THEM-021_Mystery_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Mystery within the ""Where Light Fades"" universe. The ""Where Light Fades"" universe is not fully explored or explained. Mystery serves to create a sense of scale and dread. Some elements (such as the true origin of Nyx or the location of the Twin Heartstone Shard) remain key narrative drivers. - **The Twin Shard**: Where is the second half of Kaelen's Blue Stone? - **The Whispering Winds**: What is the source of the Sentient Entropy?",1. Core Concepts & Themes\WLF-THEM-021_Mystery_v1.0.md
